"ID","Region","File_Path","catch","total mortality","harvest","total removals","catch per unit effort|cpue","catch rate","index of abundance","catch per effort|fishing success","landings","retained catch","natural log of unfished recruitment|lnr0","logr0","log(r0)","r0","projection","forecast","prediction","sex","gender","spawning biomass|sb","spawning stock biomass|ssb","spawning output","spawning stock output|sso|spawners|effective spawning output","mass","weight"
"52","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/Golden_Tile_Assessment_MT2021_2.pdf",12,0,0,0,19,0,1,0,27,0,0,0,0,0,1,0,0,0,0,24,34,0,0,0,1
"53","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/noaa_24818_DS1.pdf",78,2,0,0,0,0,0,0,39,0,0,0,0,0,0,0,3,0,0,1,10,0,6,0,8
"54","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/TSR_EGB_Haddock_2021_meeting_draft.pdf",40,2,1,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5
"55","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/2011Dick3.pdf",256,2,25,0,28,0,1,0,130,1,4,4,4,14,0,29,1,7,18,16,4,76,44,0,20
"56","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/agenda-item-h-5-attachment-9-2.pdf",175,20,30,3,10,2,9,0,98,1,11,6,6,15,2,3,0,12,1,36,6,137,34,1,45
"57","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/Blue-Deacon_Assessment_2017_Final.pdf",446,10,96,9,123,21,18,0,241,12,45,0,0,18,13,11,8,21,31,24,17,165,122,0,18
"58","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/c-6-attachment-1-full-assessment-electronic-only-status-of-lingcod-ophiodon-elongatus-along-the-northern-u-s-west-coast-in-2021.pdf",157,9,7,0,43,1,9,0,146,6,1,4,4,1,3,4,0,25,15,50,20,3,35,0,28
"59","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/Cabezon-2019_FINAL.pdf",306,9,78,9,58,10,17,1,108,0,44,0,0,15,14,9,4,8,24,154,7,108,70,1,38
"60","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/California Scorpionfish.pdf",210,0,26,3,36,2,16,0,38,28,7,0,0,3,3,10,0,36,1,43,1,7,13,0,15
"61","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/dover_sole_december_2021_final.pdf",63,9,18,1,0,0,19,0,80,0,1,5,5,0,6,10,0,64,1,109,3,2,14,0,19
"62","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/g-5-attachment-3-draft-full-assessment-of-status-of-the-pacific-spiny-dogfish-shark-resource-off-the-continental-u-s-pacific-coast-in-2021-electronic-only.pdf",167,8,24,0,0,3,1,0,108,4,2,4,4,8,0,0,2,6,0,9,1,74,35,0,23
"63","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/Gopher_BlackandYellow_Assessment_2019-1.pdf",237,22,16,1,11,0,25,0,106,3,7,1,1,9,0,4,0,8,0,9,1,30,19,0,10
"64","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/hake-assessment-post-srg-final_20210303.pdf",389,0,79,1,13,0,6,0,29,1,1,2,2,27,5,48,0,1,7,221,6,0,69,2,55
"65","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/Longnose skate 2019_FINAL.pdf",187,5,12,1,12,3,1,0,174,1,14,0,0,6,0,0,1,6,0,80,0,17,43,0,24
"66","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/PacificOceanPerch2017_Assessment_Final.pdf",78,0,29,0,18,0,16,0,62,0,1,2,2,3,2,5,0,11,2,7,0,90,16,0,38
"67","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/sablefish_20191022.pdf",231,8,28,0,12,8,10,0,103,6,10,0,0,13,5,7,7,9,1,105,18,6,46,2,53
"68","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/WidowAssessment2015.pdf",117,3,20,1,4,0,1,0,223,3,4,1,1,13,4,21,5,9,10,84,2,7,15,0,30
"69","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/Yelloweye rockfish 2017.pdf",173,0,10,1,21,2,4,0,59,1,11,0,0,7,0,2,0,7,0,12,0,82,31,1,7
"70","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/Yellowtail rockfish 2017.pdf",146,0,23,1,32,0,9,0,60,2,5,1,1,6,2,10,0,12,0,6,0,51,35,0,30
