"ID","Region","File_Path","biomass|b","abundance","spawning biomass|sb","spawning stock biomass|ssb","spawning output","spawning stock output|sso","mature biomass","spawners","effective spawning output","unfished","virgin","initial equilibrium","unfished equilibrium","recruitment","recruits","recruit","age 0 fish","age 1 fish","catch","total mortality","harvest","total removals","catch per unit effort|cpue","catch rate","index of abundance","catch per effort","fishing success","landings","retained catch","spawner per recruit|spr","spawning potential ratio|spr","maximum sustainable yield|msy","instantaneous total mortality rate|z","fishing mortality|f","instantaneous fishing mortality rate","harvest rate","exploitation rate","finite fishing mortality","apical f","fishing mortality at maximum sustainable yield|fmsy","mass","weight","length composition","length frequency","length observation","size frequency","size composition","age composition","age frequency","age observation","projection","forecast","prediction","sex","gender","natural log of unfished recruitment|lnr0","logr0","logr_0","log(r0)","r0","plus group"
"44","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/PacificOceanPerch2017_Assessment_Final.pdf",65,39,7,0,90,0,0,0,1,28,4,0,3,64,5,0,0,0,78,0,29,0,18,0,16,0,0,62,0,18,21,9,1,974,0,8,8,0,0,0,0,38,4,8,0,0,0,6,6,0,2,5,0,11,2,1,2,0,2,3,0
"45","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/sablefish_20191022.pdf",341,91,105,18,6,0,0,1,0,40,0,0,0,407,17,6,0,0,231,8,28,0,12,8,10,0,0,103,6,36,37,16,60,2428,0,0,13,0,0,2,2,53,2,0,0,0,6,6,0,0,5,7,7,9,1,10,0,0,0,13,11
"46","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/WidowAssessment2015.pdf",169,22,84,2,7,3,0,0,0,29,0,0,10,101,2,2,0,0,117,3,20,1,4,0,1,0,0,223,3,27,28,23,13,1252,0,9,9,0,0,4,0,30,4,9,0,0,0,2,3,0,4,21,5,9,10,4,1,0,1,13,0
"47","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/Yelloweye rockfish 2017.pdf",100,50,12,0,82,7,0,0,0,29,1,0,4,68,14,7,0,0,173,0,10,1,21,2,4,0,0,59,1,39,43,22,1,1220,0,2,12,0,0,0,1,7,17,8,0,0,1,17,10,0,0,2,0,7,0,11,0,0,0,7,0
"48","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/Yellowtail rockfish 2017.pdf",113,50,6,0,51,0,0,0,0,13,6,0,2,44,11,4,0,0,146,0,23,1,32,0,9,0,0,60,2,20,23,3,0,1467,0,3,5,0,0,0,0,30,9,0,0,0,0,5,0,0,2,10,0,12,0,5,1,0,1,6,0
"49","NOAA-PIFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-PIFSC/NMFS-PIFSC-60.pdf",134,69,1,4,0,0,0,0,0,0,0,0,0,7,0,2,0,0,372,5,1,0,0,0,0,0,0,2,0,167,173,2,16,796,0,0,0,0,0,0,0,13,0,0,2,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","NOAA-PIFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-PIFSC/noaa_17252_DS1.pdf",283,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,1,87,0,218,1,0,1,0,0,0,0,0,186,3,1320,0,68,2,0,0,7,1,19,0,1,0,0,0,0,0,0,12,0,0,1,0,0,0,0,0,0,0
"51","NOAA-PIFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-PIFSC/noaa_20062_DS1.pdf",132,35,4,2,0,0,0,0,0,0,0,0,0,11,0,1,0,0,218,2,0,0,0,0,0,0,0,4,0,127,139,2,14,598,0,0,0,0,0,0,1,4,0,0,1,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"52","NOAA-PIFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-PIFSC/noaa_21164_DS1.pdf",816,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,336,0,223,0,176,1,0,0,0,6,0,0,0,519,4,1516,0,201,0,0,0,0,0,8,0,1,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0
"53","NOAA-PIFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-PIFSC/SA-WP-06-[SP-alb-assessment] Rev 1.pdf",136,5,82,0,0,0,0,0,0,3,0,0,0,63,0,1,0,0,56,1,1,0,45,2,0,0,0,0,0,0,0,45,6,741,0,0,0,0,0,8,0,8,3,11,0,5,8,2,1,0,0,0,0,0,0,0,0,0,0,0,1
"54","NOAA-PIFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-PIFSC/SC14-SA-WP-08 Silky shark stock assessment (1).pdf",118,52,29,0,0,6,0,0,0,0,6,4,0,35,0,0,0,0,228,0,1,2,223,37,6,0,0,0,0,0,0,18,15,1068,0,1,0,0,0,6,0,0,25,2,0,0,9,0,0,0,0,0,0,15,0,1,0,0,0,1,0
"55","NOAA-PIFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-PIFSC/SC15-SA-WP-05 SKJ-Assessment REV2 (1).pdf",253,18,165,0,0,0,0,0,0,6,0,0,0,55,0,0,0,0,59,1,2,0,67,0,5,1,0,0,0,0,0,74,5,1230,0,0,1,0,0,28,0,13,35,14,0,1,6,0,0,0,5,0,0,2,0,0,0,0,0,0,1
"56","NOAA-PIFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-PIFSC/SC15-SA-WP-06 Oceanic whitetip shark_assessment.pdf",127,12,95,0,0,0,0,2,0,0,0,4,0,27,3,0,0,0,197,4,1,0,47,3,5,0,0,0,0,0,0,81,1,1025,0,1,0,0,0,27,0,7,2,0,0,0,0,0,0,0,0,0,13,4,0,0,0,0,0,4,0
"57","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/05.-Traditional-Interim-assessment-report-RS-002-1.pdf",4,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,5,0,1,0,3,0,0,1,0,0,0,0,2,148,0,0,0,0,0,0,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/08b.-SEDAR61_2021IA_Final.pdf",2,31,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,26,0,9,0,1,0,10,0,0,7,0,0,0,0,0,147,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"59","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/2019_WHM_SA_ENG.pdf",83,5,5,8,0,0,0,0,0,0,1,0,0,14,0,0,0,0,58,0,1,5,41,0,0,0,0,10,0,0,0,96,15,579,0,0,0,0,0,39,0,5,0,0,0,3,0,0,0,0,6,0,0,6,0,1,0,0,0,2,0
