"ID","Region","File_Path","biomass|b|abundance","spawning biomass|sb|spawning stock biomass|ssb|spawning output|spawning stock output|sso|mature biomass|spawners|effective spawning output","unfished|virgin|initial equilibrium|unfished equilibrium","recruitment","recruits|recruit|age 0 fish|age 1 fish","catch|total mortality|harvest|total removals","catch per unit effort|cpue|catch rate|index of abundance|catch per effort|fishing success","landings|retained catch","spawner per recruit|spawning potential ratio|spr","maximum sustainable yield|msy","instantaneous total mortality rate|z","fishing mortality|f|instantaneous fishing mortality rate|harvest rate|exploitation rate|finite fishing mortality|apical f","fishing mortality at maximum sustainable yield|fmsy","mass|weight","length composition|length frequency|length observation|size frequency|size composition","age composition|age frequency|age observation","projection|forecast|prediction","sex|gender","natural log of unfished recruitment|lnr0|logr0|logr_0|log(r0)|r0","plus group"
"66","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/S23_SAR_complete_and_final.pdf",4465,245,13,27,44,346,19,205,326,59,24,9226,29,50,4,10,73,20,0,0
"67","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/S28UpdateSAR_V2.pdf",1745,144,31,64,119,55,26,99,20,2,0,3494,1,27,56,29,48,8,11,2
"68","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/S34_ATSH_SAR.pdf",4005,41,50,28,38,341,101,38,3,316,19,7862,224,55,10,11,214,7,27,0
"69","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/S51_FINAL_SAR_0.pdf",4085,192,22,75,120,141,67,309,27,34,53,11298,14,67,91,7,61,25,18,0
"70","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/S52_Final_SAR_v2.pdf",3443,190,32,154,247,132,83,108,48,37,108,11099,8,21,41,142,111,2,2,2
"71","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/S57_Final_SAR.pdf",3514,128,72,40,75,105,28,194,17,45,58,4507,20,38,110,0,22,25,55,1
"72","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/S64_SAR_FINAL.pdf",5816,328,62,136,204,203,109,340,96,47,81,11390,23,87,143,23,45,38,26,3
"73","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/S67_Final_SAR.pdf",3248,229,31,114,186,175,107,145,47,65,29,6897,31,39,50,72,89,10,10,1
"74","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/S72_SAR_FINAL.pdf",3539,430,36,83,124,152,68,178,6,42,93,8354,20,101,204,59,42,21,15,4
"75","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/SA BSB 2018.pdf",3137,176,10,49,109,82,25,145,12,230,5,3782,103,65,32,38,95,6,7,1
"76","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/SEDAR_60_SA_Red_Porgy_SAR_4.9.2020.pdf",2825,259,15,57,147,106,26,193,19,257,13,4900,118,57,43,40,111,7,18,1
"77","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/SEDAR65_FullSAR_12.8.2020_V3.pdf",8869,91,52,154,243,518,107,125,4,318,53,11823,263,90,201,1,289,80,21,0
"78","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/SMA_ASS_ENG.pdf",1498,22,5,10,26,200,75,11,0,249,12,2043,49,14,21,0,19,16,4,0
"79","NOAA-SWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SWFSC/agenda-item-d-3.pdf",2168,100,8,76,112,156,16,54,12,11,32,3675,3,17,8,46,40,22,8,0
"80","NOAA-SWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SWFSC/SAC-11-07-MTG_Yellowfin tuna benchmark assessment 2019.pdf",1665,121,20,47,65,170,59,10,0,52,4,3325,18,10,33,1,3,6,10,0
"81","NOAA-SWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SWFSC/SC14-SA-WP-11 ISC18 Shortfin Mako Stock Assessment.pdf",1461,17,55,79,110,241,123,3,33,99,15,3421,4,10,37,0,38,34,24,4
"Sum",NA,NA,189533,8481,1380,4253,6182,15556,4340,4865,1779,4164,1203,335448,1442,2079,2605,1258,2603,1557,677,48
