"ID","Region","File_Path","catch","total mortality","harvest","total removals","catch per unit effort|cpue","catch rate","index of abundance","catch per effort|fishing success","landings","retained catch","natural log of unfished recruitment|lnr0","logr0","log(r0)","r0","projection","forecast","prediction","sex","gender","spawning biomass|sb","spawning stock biomass|ssb","spawning output","spawning stock output|sso|mature biomass|spawners|effective spawning output","mass","weight"
"68","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/WidowAssessment2015.pdf",0.02,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0.01
"69","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/Yelloweye rockfish 2017.pdf",0.07,0,0,0,0.01,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.01,0,0
"70","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/Yellowtail rockfish 2017.pdf",0.05,0,0.01,0,0.01,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.01,0,0.01
"71","NOAA-PIFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-PIFSC/NMFS-PIFSC-60.pdf",0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01
"72","NOAA-PIFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-PIFSC/noaa_17252_DS1.pdf",0.13,0,0.03,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01
"73","NOAA-PIFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-PIFSC/noaa_20062_DS1.pdf",0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0
"74","NOAA-PIFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-PIFSC/noaa_21164_DS1.pdf",0.13,0,0.08,0,0.07,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0
"75","NOAA-PIFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-PIFSC/SA-WP-06-[SP-alb-assessment] Rev 1.pdf",0.05,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0.01
"76","NOAA-PIFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-PIFSC/SC14-SA-WP-08 Silky shark stock assessment (1).pdf",0.1,0,0,0,0.1,0.02,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0,0,0.08,0,0
"77","NOAA-PIFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-PIFSC/SC15-SA-WP-05 SKJ-Assessment REV2 (1).pdf",0.03,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0.02,0,0.01
"78","NOAA-PIFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-PIFSC/SC15-SA-WP-06 Oceanic whitetip shark_assessment.pdf",0.12,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.06,0,0,0.02,0,0
"79","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/05.-Traditional-Interim-assessment-report-RS-002-1.pdf",0.13,0,0.02,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08
"80","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/08b.-SEDAR61_2021IA_Final.pdf",0.12,0,0.04,0,0,0,0.05,0,0.03,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.06
"81","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/2019_WHM_SA_ENG.pdf",0.06,0,0,0,0.04,0,0,0,0.01,0,0,0,0,0,0.01,0,0,0.01,0,0,0.01,0,0,0,0
"82","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/2020_ALB_ENG.pdf",0.05,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.02
"83","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/2021_WBFT_SA_ENG.pdf",0.03,0,0,0,0.01,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0.03,0.03,0,0.02,0,0
"84","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/Atl_Blacknose_SAR.pdf",0.06,0,0,0,0.04,0,0,0,0.02,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.01,0,0.01
